,0
0,4.573042551676433
1,3.96257754166921
2,3.3964469220903184
3,2.99486762881279
4,2.7330705373318818
5,1.4636665344238282
6,1.4527381738026937
7,1.433836857477824
8,1.4266447265942892
9,1.4168598630307374
10,1.2031137983004252
11,1.2395892719427744
12,1.2507307940059238
13,1.2535022030274072
14,1.256481242917558
15,1.1883046309153238
16,1.2015085299809773
17,1.1777738836076526
18,1.1983364482720693
19,1.185185918605245
20,1.1172867258389791
21,1.1148259878158568
22,1.1283619324366252
23,1.1433817356824876
24,1.1540935743585232
25,1.1255258401234944
26,1.1190883318583171
27,1.0962946931521098
28,1.0943329850832622
29,1.1007097007801245
30,1.020258088906606
31,1.0098719497521718
32,1.046806185775333
33,1.0567574034134546
34,1.0733534552578774
35,1.015518593788147
36,1.012472794453303
37,1.0318900227546692
38,1.0523290981849034
39,1.0473055848571482
40,0.9835521539052328
41,1.0155396958192189
42,1.0398989955584208
43,1.0420899003744126
44,1.0522989053471268
45,0.9541675090789795
46,0.9928023596604665
47,0.996255275938246
48,0.9952311297257741
49,1.000525528344323
