,0
0,4.511543973286947
1,3.8678553899129233
2,3.2810230678982206
3,2.876924578348796
4,2.6120758277445035
5,1.349963649113973
6,1.317974321047465
7,1.321371775203281
8,1.3123458007971445
9,1.3018587417939769
10,1.1448550701141358
11,1.1390319426854452
12,1.1575196438365511
13,1.1504929999510447
14,1.148144360467826
15,1.097321585814158
16,1.1057161072889963
17,1.1091982576582167
18,1.1158450802167257
19,1.1117959958933399
20,1.030594034989675
21,1.0507506052652995
22,1.0363494290245905
23,1.0507843206326166
24,1.049426548909047
25,0.9929106752077739
26,1.0106013774871827
27,1.0088750614060296
28,1.0168235649665196
29,1.0140161235265746
30,0.9549785057703654
31,0.9578759531180064
32,0.9552434523900349
33,0.9750720083713531
34,0.9794985510830727
35,0.9278630137443542
36,0.9371237695217133
37,0.9535184952947828
38,0.9641255984703699
39,0.9800095563184786
40,0.9488341291745503
41,0.9626803159713745
42,0.961284856001536
43,0.9466675947109858
44,0.960263323116443
45,0.9604360024134319
46,0.9551390031973521
47,0.9437439640363058
48,0.9431964824597041
49,0.9479253919870821
